Rank,Difficulty,Score,Name,Level
574,Insane,27634047,タンサン,85
575,Insane,27634047,RB| wijen,85
576,Insane,27633983,Rinka,85
577,Insane,27633983,Yor,85
578,Insane,27633983,yayanasai,85
579,Insane,27633919,Seikyo,85
580,Insane,27633919,rez,85
581,Insane,27633855,livsa,85
582,Insane,27633855,Sion,85
583,Insane,27633855,エロマンガ先生,85
584,Insane,27633855,Agent47,85
585,Insane,27633791,KSan,85
586,Insane,27633791,Rexeez,85
587,Insane,27633791,Nickname,85
588,Insane,27633727,Xega,85
589,Insane,27633727,Steelbus,85
590,Insane,27633663,IGTRCyntia,85
591,Insane,27633599,Aman,85
592,Insane,27633599,TSH,85
593,Insane,27633599,chunchunmaru,85
594,Insane,27633535,mrnayo,85
595,Insane,27633471,聖園三力,85
596,Insane,27633407,Ledah,85
597,Insane,27633407,Reinerhardt,85
598,Insane,27633407,幻影的大貓,85
599,Insane,27633343,FazelNeir,85
600,Insane,27633343,久遠寺幽幽子,85
601,Insane,27633343,Lilac,85
602,Insane,27633343,DY-1IJAY,85
603,Insane,27633343,SugaryFish,85
604,Insane,27633343,雨焉,85
605,Insane,27633023,inf,85
606,Insane,27633023,Sajenjay,85
607,Insane,27633023,Circz,85
608,Insane,27633023,養豚場之公眾便所,85
609,Insane,27632959,Koyoasu,85
610,Insane,27632895,shingo,???
611,Insane,27632831,LikeSkat,85
612,Insane,27632831,虹羽,85
613,Insane,27632767,Mist,85
614,Insane,27632767,Nummong,85
615,Insane,27632767,KuRuMee,85
616,Insane,27632703,鶴姫つるひめ,85
617,Insane,27632703,Berg,85
618,Insane,27632639,RedTaffy,85
619,Insane,27632639,Rorona,85
620,Insane,27632575,Zirenyth,85
621,Insane,27632575,AloneMastor,85
622,Insane,27632511,+,85
623,Insane,27632383,yT,85
624,Insane,27632319,NTL Tailly,85
625,Insane,27632255,FM-Satori,85
626,Insane,27632255,sper,85
627,Insane,27632255,NS-Hyt,85
628,Insane,27632191,Quiver,85
629,Insane,27632191,Mikanse,85
630,Insane,27632127,Iona,85
631,Insane,27632127,卡洛瑞,85
632,Insane,27632063,Lyze,85
633,Insane,27631999,dasprillion,85
634,Insane,27631871,kleizen,85
635,Insane,27631871,Luxion,85
636,Insane,27631871,Punyted,85
637,Insane,27631679,Ivera,85
638,Insane,27631679,月丘晶子,85
639,Insane,27631679,Shinojang,85
640,Insane,27631679,Venosa,85
641,Insane,27631551,หมั่นโถว,85
642,Insane,27631551,DY-6|Zhawin,85
643,Insane,27631551,Xeno,85
644,Insane,27631423,ArKenny,85
645,Insane,27631359,NasuyaSama,85
646,Insane,27631359,非緣想,85
647,Insane,27631295,NSTOKI CHAN,85
648,Insane,27631295,Addy,85
649,Insane,27631231,Kamazune,85
650,Insane,27631167,心奈小朋友,85
651,Insane,27631167,秋月夜,85
652,Insane,27631167,Rhona,85
653,Insane,27631103,Shionne,85
654,Insane,27631039,눈눈,85
655,Insane,27630975,Sugarcube,85
656,Insane,27630975,Tiin,85
657,Insane,27630975,Valkstyrm,85
658,Insane,27630911,Seshiru,85
659,Insane,27630911,Hanifh,85
660,Insane,27630911,Ken,85
661,Insane,27630847,59,85
662,Insane,27630847,Lein,85
663,Insane,27630847,Jayhank,85
664,Insane,27630783,Ally,85
665,Insane,27630719,silenTTarsius,85
666,Insane,27630655,fATaLish,85
667,Insane,27630655,Teemo,85
668,Insane,27630591,Xeinya,???
669,Insane,27630527,SunChayNy,85
670,Insane,27630527,AiKo,85
671,Insane,27630527,Protagonist,85
672,Insane,27630463,Slimy,???
673,Insane,27630399,Azure,85
674,Insane,27630399,Firo,85
675,Insane,27630335,Hawk,85
676,Insane,27630271,Miho,85
677,Insane,27630207,Deathmatch,85
678,Insane,27630143,???,85
